100 - Result: timeout
**Phase 1 (Steps 1–22): Successful Approach**
**Phase 2 (Steps 23-90): Stuck on the Inside Wall of the Vase**
**Phase 3 (Steps 91–130): Drift Away from Target**
**Phase 4 (steps 131–500): The Infinite Loop**

The agent starts 37mm from the goal. Both are on the outer wall of the vase. The correct strategy would be to simply crawl along the outside surface — a straight path.
Instead, the agent crawled upward, over the rim, and down inside the vase. It actually reached 7.8mm from the goal — very close in Euclidean distance — but now it's on the inner wall and the target is on the outer wall. Just a few millimeters of ceramic between them, but no surface path to get there.
You can see the distance oscillating between 7 and 10mm for hundreds of steps — the agent is stuck on the inside, crawling in circles. All 500 steps are move_tangentially, timeout.
The problem is that Q-store was trained on simpler objects — cubes, cylinders, mugs, cups — where crawling in any direction that reduces distance usually works. On the vase, the surface_move heuristic projected the goal direction and picked a tangential direction that went upward over the rim. Q-store confirmed this because it looked like a familiar state. Once inside, the agent doesn't know how to get out — it has never encountered this geometry before.
This is episode 100 — the system has no vase-specific experience yet. It's applying strategies from other objects, and they don't work here.

Goal: [-21.370293074655773, -3.1521960128693234, 30.97577341964869, 46.68201053711656, -59.585738851460775, -42.44504126782082]
Steps: 500
Start: [2.0234323278225688, 24.356934288613555, 23.347181706020983, -64.90394143954451, -35.02888103563993, -17.859477043406287]
End: [-17.08027220684934, -5.629404437387221, 36.999999999997996, 0.0, 0.0, 0.0]
Start distance: 36.9mm
End distance: 7.8mm

Step 001 (dist=36.9mm): source: q_store, act_name: move_tangentially
Step 002 (dist=35.0mm): source: q_store, act_name: move_tangentially
Step 003 (dist=32.7mm): source: sac, act_name: move_tangentially
Step 004 (dist=35.0mm): source: q_store, act_name: move_tangentially
Step 005 (dist=32.6mm): source: q_store, act_name: move_tangentially
Step 006 (dist=31.4mm): source: q_store, act_name: move_tangentially
Step 007 (dist=30.4mm): source: q_store, act_name: move_tangentially
Step 008 (dist=29.6mm): source: q_store, act_name: move_tangentially
Step 009 (dist=29.3mm): source: sac, act_name: move_tangentially
Step 010 (dist=29.3mm): source: sac, act_name: move_tangentially
Step 011 (dist=29.3mm): source: q_store, act_name: move_tangentially
Step 012 (dist=27.5mm): source: sac, act_name: move_tangentially
Step 013 (dist=25.6mm): source: sac, act_name: move_tangentially
Step 014 (dist=27.5mm): source: q_store, act_name: move_tangentially
Step 015 (dist=24.9mm): source: q_store, act_name: move_tangentially
Step 016 (dist=22.3mm): source: q_store, act_name: move_tangentially
Step 017 (dist=19.6mm): source: q_store, act_name: move_tangentially
Step 018 (dist=16.8mm): source: q_store, act_name: move_tangentially
Step 019 (dist=14.1mm): source: sac, act_name: move_tangentially
Step 020 (dist=14.1mm): source: q_store, act_name: move_tangentially
Step 021 (dist=11.5mm): source: q_store, act_name: move_tangentially
Step 022 (dist=9.6mm): source: sac, act_name: move_tangentially
Step 023 (dist=9.6mm): source: q_store, act_name: move_tangentially
Step 024 (dist=9.6mm): source: q_store, act_name: move_tangentially
Step 025 (dist=9.6mm): source: q_store, act_name: move_tangentially
Step 026 (dist=9.6mm): source: q_store, act_name: move_tangentially
Step 027 (dist=9.6mm): source: q_store, act_name: move_tangentially
Step 028 (dist=9.6mm): source: q_store, act_name: move_tangentially
Step 029 (dist=9.6mm): source: q_store, act_name: move_tangentially
Step 030 (dist=9.6mm): source: q_store, act_name: move_tangentially
Step 031 (dist=9.6mm): source: q_store, act_name: move_tangentially
Step 032 (dist=9.6mm): source: q_store, act_name: move_tangentially
Step 033 (dist=9.6mm): source: q_store, act_name: move_tangentially
Step 034 (dist=9.6mm): source: q_store, act_name: move_tangentially
Step 035 (dist=9.6mm): source: q_store, act_name: move_tangentially
Step 036 (dist=9.6mm): source: q_store, act_name: move_tangentially
Step 037 (dist=9.6mm): source: q_store, act_name: move_tangentially
Step 038 (dist=9.6mm): source: q_store, act_name: move_tangentially
Step 039 (dist=9.6mm): source: q_store, act_name: move_tangentially
Step 040 (dist=9.6mm): source: q_store, act_name: move_tangentially
Step 041 (dist=9.6mm): source: q_store, act_name: move_tangentially
Step 042 (dist=9.6mm): source: q_store, act_name: move_tangentially
Step 043 (dist=9.6mm): source: q_store, act_name: move_tangentially
Step 044 (dist=9.6mm): source: q_store, act_name: move_tangentially
Step 045 (dist=9.6mm): source: q_store, act_name: move_tangentially
Step 046 (dist=9.6mm): source: q_store, act_name: move_tangentially
Step 047 (dist=9.6mm): source: q_store, act_name: move_tangentially
Step 048 (dist=9.6mm): source: q_store, act_name: move_tangentially
Step 049 (dist=9.6mm): source: q_store, act_name: move_tangentially
Step 050 (dist=9.6mm): source: q_store, act_name: move_tangentially
Step 051 (dist=9.6mm): source: q_store, act_name: move_tangentially
Step 052 (dist=9.2mm): source: q_store, act_name: move_tangentially
Step 053 (dist=7.3mm): source: q_store, act_name: move_tangentially
Step 054 (dist=7.3mm): source: q_store, act_name: move_tangentially
Step 055 (dist=7.3mm): source: q_store, act_name: move_tangentially
Step 056 (dist=7.3mm): source: q_store, act_name: move_tangentially
Step 057 (dist=7.3mm): source: q_store, act_name: move_tangentially
Step 058 (dist=7.3mm): source: q_store, act_name: move_tangentially
Step 059 (dist=7.3mm): source: q_store, act_name: move_tangentially
Step 060 (dist=7.3mm): source: q_store, act_name: move_tangentially
Step 061 (dist=7.3mm): source: q_store, act_name: move_tangentially
Step 062 (dist=7.3mm): source: q_store, act_name: move_tangentially
Step 063 (dist=7.3mm): source: q_store, act_name: move_tangentially
Step 064 (dist=7.3mm): source: q_store, act_name: move_tangentially
Step 065 (dist=7.3mm): source: q_store, act_name: move_tangentially
Step 066 (dist=7.3mm): source: q_store, act_name: move_tangentially
Step 067 (dist=7.3mm): source: q_store, act_name: move_tangentially
Step 068 (dist=7.3mm): source: q_store, act_name: move_tangentially
Step 069 (dist=7.3mm): source: q_store, act_name: move_tangentially
Step 070 (dist=7.3mm): source: q_store, act_name: move_tangentially
